Type;Indicator;Description
hash;0c6b41d25214f04abf9770a7bdfcee5d;BOATLAUNCH 32bit
hash;21f153810b82852074f0f0f19c0b3208;BOATLAUNCH 64bit
hash;02699f95f8568f52a00c6d0551be2de5;POWERPLANT
hash;0291df4f7303775225c4044c8f054360;POWERPLANT
hash;0fde02d159c4cd5bf721410ea9e72ee2;POWERPLANT
hash;2cbb015d4c579e464d157faa16994f86;POWERPLANT
hash;3803c82c1b2e28e3e6cca3ca73e6cce7;POWERPLANT
hash;5a6bbcc1e44d3a612222df5238f5e7a8;POWERPLANT
hash;833ae560a2347d5daf05d1f670a40c54;POWERPLANT
hash;b637d33dbb951e7ad7fa198cbc9f78bc;POWERPLANT
hash;bce9b919fa97e2429d14f255acfb18b4;POWERPLANT
hash;d1d8902b499b5938404f8cece2918d3d;POWERPLANT
hash;edb1f62230123abf88231fc1a7190b60;POWERPLANT
hash;d405909fd2fd021372444b7b36a3b806;POWERTRASH Cryptor & CARBANAK Payload
hash;122cb55f1352b9a1aeafc83a85bfb165;CROWVIEW (BIRDWATCH/JssLoader Variant)
hash;domenuscdm[.]com;CROWVIEW/LOADOUT C2
hash;936b142d1045802c810e86553b332d2d;LOADOUT
hash;23e1725769e99341bc9af48a0df64151;LOADOUT
hash;4d56a1ca28d9427c440ec41b4969caa2;LOADOUT
hash;50260f97ac2365cf0071e7c798b9edda;LOADOUT
hash;6fba605c2a02fc62e6ff1fb8e932a935;BEAKDROP
hash;49ac220edf6d48680f763465c4c2771e;BEACON
hash;52f5fcaf4260cb70e8d8c6076dcd0157;Trojanized installer containing Atera Agent
hash;78c828b515e676cc0d021e229318aeb6;WINGNIGHT
hash;70bf088f2815a61ad2b1cc9d6e119a7f;WINGNIGHT
hash;4961aec62fac8beeafffa5bfc841fab8;FLYHIGH
domain;findoutcredit[.]com;POWERPLANT C2
domain;againcome[.]com;POWERPLANT C3
domain;modestoobgyn[.]com;POWERPLANT C4
domain;myshortbio[.]com;POWERPLANT C5
domain;estetictrance[.]com;POWERPLANT C6
domain;internethabit[.]com;POWERPLANT C7
domain;bestsecure2020[.]com;POWERPLANT C8
domain;chyprediction[.]com;POWERPLANT C9
domain;spontaneousance[.]com;LOADOUT C2
domain;fashionableeder[.]com;LOADOUT C3
domain;incongruousance[.]com;LOADOUT C4
domain;electroncador[.]com;LOADOUT C5
domain;astara20[.]com;BEACON C2
domain;coincidencious[.]com;BEACON C2
hash;ab29b9e225a05bd17e919e1d0587289e;DNS BEACON
hash;1c3b19163a3b15b39ae00bbe131b499a;DARKSIDE
hash;230a681ebbcdba7ae2175f159394d044;DARKSIDE
hash;bf41fc54f96d0106d34f1c48827006e4;DARKSIDE
hash;c4da0137cbb99626fd44da707ae1bca8;DARKSIDE
hash;28e9581ab34297b6e5f817f93281ffac;FIN7 BEACON
hash;38786bc9de1f447d0187607eaae63f11;FIN7 BEACON
hash;6fba605c2a02fc62e6ff1fb8e932a935;FIN7 BEAKDROP
filename;amsi32_kill.dll;BOATLAUNCH PE Export directory names
filename;amsi64_kill.dll;BOATLAUNCH PE Export directory names
